Cement,Pumice,SilicaFume,Powder,W/P,SP,CA/FA,Type,Strength
440,110,0,550,0.32,2.25,1.441260745,2,55.7
500,0,0,500,0.2,3,1.488521695,1,79.6
475,25,0,500,0.2,3.157894737,1.488666582,1,81.31
450,50,0,500,0.2,4.073333333,1.488434164,1,78.15
425,75,0,500,0.2,4.705882353,1.488579814,1,74.86
400,100,0,500,0.2,5.4175,1.488664019,1,73.37
550,0,0,550,0.32,1.8,1.289719626,2,71.6
495,55,0,550,0.32,2,1.303643725,2,73.6
440,110,0,550,0.32,2.25,1.31787176,2,55.7
385,165,0,550,0.32,2.571428571,1.332413793,2,47.8
400,0,0,400,0.45,0,1.342105263,1,38
320,80,0,400,0.45,0,1.415277778,1,31
400,0,0,400,0.35,0,1.341614907,1,49
320,80,0,400,0.35,0,1.332026144,1,42
400,0,0,400,0.45,0,1.342105263,2,37
320,80,0,400,0.45,0,1.415277778,2,30
400,0,0,400,0.35,0,1.341614907,2,48
320,80,0,400,0.35,0,1.332026144,2,41
550,0,0,550,0.32,1.8,1.412921348,2,71.8
495,55,0,550,0.32,2,1.431009957,2,73.4
450,100,0,550,0.32,2.2,1.449567723,2,63.1
395,155,0,550,0.32,2.506329114,1.468613139,2,49.8
380,0,0,380,0.5,0,1.777777778,2,21.8
323,57,0,380,0.5,0,1.777777778,2,22.5
285,95,0,380,0.5,0,1.777777778,2,24.6
247,133,0,380,0.5,0,1.777777778,2,17.9
400,0,0,400,0.5,0,0.536912752,1,49.71
380,20,0,400,0.5,0,0.536912752,1,46.72
360,40,0,400,0.5,0,0.536912752,1,44.5
340,60,0,400,0.5,0,0.536912752,1,43.51
320,80,0,400,0.5,0,0.536912752,1,37.92
340,20,40,400,0.5,0,0.536912752,1,46.87
320,40,40,400,0.5,0,0.536912752,1,45.84
300,60,40,400,0.5,0,0.536912752,1,45.75
280,80,40,400,0.5,0,0.536912752,1,38.94
427,0,0,427,0.480093677,0,2.030456853,2,33.5
384,31,0,415,0.493975904,0,2.030456853,2,35.2
341,62,0,403,0.508684864,0,2.030456853,2,33.5
299,91,0,390,0.525641026,0,2.030456853,2,30.9
256,122,0,378,0.542328042,0,2.030456853,2,25.1
500,0,0,500,0.3,1.5,1.356147022,2,58.3
450,50,0,500,0.302,1.666666667,1.41347424,2,59.1
400,100,0,500,0.304,1.875,1.443994602,2,60.2
450,50,0,500,0.306,1.666666667,1.41347424,2,52.1
400,100,0,500,0.308,1.875,1.443994602,2,50
400,0,0,580,0.303448276,0.8,0.851764706,2,38.72
340,60,0,580,0.257931034,0.8,0.851764706,2,29.5
320,80,0,580,0.242758621,0.8,0.851764706,2,32.53
300,100,0,580,0.227586207,0.8,0.851764706,2,32.61
420,0,0,420,0.38,0.44,1,2,64.2
357,63,0,420,0.38,0.52,1,2,63.2
294,126,0,420,0.38,0.54,1,2,58.1
336,63,21,420,0.38,0.55,1,2,72.4
273,126,21,420,0.38,0.58,1,2,61.7
520,0,0,520,0.485,0,0,1,47.5
520,0,0,520,0.44,0,0,1,48.8
520,0,0,520,0.4,0.24,0,1,51.5
416,104,0,520,0.485,0.1,0,1,38.5
416,104,0,520,0.44,0.19625,0,1,41.3
416,104,0,520,0.4,0.53475,0,1,46.5
350,0,0,350,0.5,0,1.083333333,1,42.8
315,35,0,350,0.45,0,1.083333333,1,38.2
297.5,52.5,0,350,0.425,0,1.083333333,1,38.9
280,70,0,350,0.4,0,1.083333333,1,39.7
550,0,0,550,0.4,0,0,2,45.39
522.5,27.5,0,550,0.401818182,2.296650718,0,2,33.048
467.5,82.5,0,550,0.403636364,4.49197861,0,2,27.846
450,0,0,450,0.42,0,1.223484848,1,40.689
360,90,0,450,0.42,0,1.223484848,1,23.355
270,180,0,450,0.42,0,1.223484848,1,17.145
180,270,0,450,0.42,0,1.223484848,1,13.837
90,360,0,450,0.42,0,1.223484848,1,10.26
0,450,0,450,0.42,0,1.223484848,1,0.268
0,450,0,450,0.42,0,1.223484848,1,0.26
0,360,0,450,0.42,0,1.223484848,1,0.414
0,270,0,450,0.42,0,1.223484848,1,0.685
0,180,0,450,0.42,0,1.223484848,1,0.54
0,90,0,450,0.42,0,1.223484848,1,0.408
0,0,0,450,0.42,0,1.223484848,1,0.278
360,90,0,450,0.42,0,1.223484848,1,24.047
288,90,0,450,0.42,0,1.223484848,1,21.06
360,90,0,450,0.42,0,1.223484848,1,23.182
360,72,0,450,0.42,0,1.223484848,1,20.944
360,54,0,450,0.42,0,1.223484848,1,23.142
360,36,0,450,0.42,0,1.223484848,1,25.545
360,18,0,450,0.42,0,1.223484848,1,25.2
360,0,0,450,0.42,0,1.223484848,1,27.336
360,0,0,450,0.42,0,1.223484848,1,27.336
359.64,15.21,0,450,0.42,0,1.223484848,1,20.15
256.95,128.7,0,450,0.42,0,1.223484848,1,12.555
225,168.75,0,450,0.42,0,1.223484848,1,5.382
199.8,199.8,0,450,0.42,0,1.223484848,1,1.36
180,225,0,450,0.42,0,1.223484848,1,0.959
360,0,0,450,0.42,0,1.223484848,1,26.733
288,72,0,450,0.42,0,1.223484848,1,21.528
216,144,0,450,0.42,0,1.223484848,1,9.38
144,216,0,450,0.42,0,1.223484848,1,4.795
72,288,0,450,0.42,0,1.223484848,1,1.703
0,360,0,450,0.42,0,1.223484848,1,0.405
360,0,0,450,0.422222222,0,1.223484848,1,27.336
360,18,0,450,0.424444444,0,1.223484848,1,23.76
360,36,0,450,0.426666667,0,1.223484848,1,25.74
360,54,0,450,0.428888889,0,1.223484848,1,23.142
360,72,0,450,0.431111111,0,1.223484848,1,20.944
360,90,0,450,0.433333333,0,1.223484848,1,23.009
650,0,0,650,0.38,1.076923077,7.20E-07,1,73.1
